role,opera,composer,fach,voice
Edgardo,Lucia di Lammermoor,Donizetti,Lyrischer Tenor,Tenor
Enrico Ashton,Lucia di Lammermoor,Donizetti,Kavalierbariton,Baritone
Raimondo,Lucia di Lammermoor,Donizetti,Serioeser Bass,Bass
Nemorino,L'elisir d'amore,Donizetti,Lyrischer Tenor,Tenor
Adina,L'elisir d'amore,Donizetti,Lyrischer Koloratursopran,Soprano
Belcore,L'elisir d'amore,Donizetti,Lyrischer Bariton,Baritone
Dulcamara,L'elisir d'amore,Donizetti,Bassbuffo,Bass
Giannetta,L'elisir d'amore,Donizetti,Soubrette,Soprano
Don Pasquale,Don Pasquale,Donizetti,Bassbuffo,Bass
Norina,Don Pasquale,Donizetti,Lyrischer Koloratursopran,Soprano
Ernesto,Don Pasquale,Donizetti,Lyrischer Tenor,Tenor
Malatesta,Don Pasquale,Donizetti,Lyrischer Bariton,Baritone
Maria Stuarda,Maria Stuarda,Donizetti,Lyrischer Koloratursopran,Soprano
Anna Bolena,Anna Bolena,Donizetti,Dramatischer Koloratursopran,Soprano
Marie,La fille du regiment,Donizetti,Lyrischer Koloratursopran,Soprano
Tonio,La fille du regiment,Donizetti,Lyrischer Tenor,Tenor
Norma,Norma,Bellini,Dramatischer Koloratursopran,Soprano
Adalgisa,Norma,Bellini,Lyrischer Mezzosopran,Mezzo
Pollione,Norma,Bellini,Jugendlicher Heldentenor,Tenor
Oroveso,Norma,Bellini,Serioeser Bass,Bass
Amina,La sonnambula,Bellini,Lyrischer Koloratursopran,Soprano
Elvino,La sonnambula,Bellini,Lyrischer Tenor,Tenor
Elvira,I puritani,Bellini,Lyrischer Koloratursopran,Soprano
Arturo,I puritani,Bellini,Lyrischer Tenor,Tenor
Carmen,Carmen,Bizet,Dramatischer Mezzosopran,Mezzo
Don Jose,Carmen,Bizet,Jugendlicher Heldentenor,Tenor
Micaela,Carmen,Bizet,Lyrischer Sopran,Soprano
Escamillo,Carmen,Bizet,Kavalierbariton / Bass-Bariton,Baritone
Frasquita,Carmen,Bizet,Soubrette,Soprano
Mercedes,Carmen,Bizet,Mezzosopran,Mezzo
Zurga,Les pecheurs de perles,Bizet,Lyrischer Bariton,Baritone
Nadir,Les pecheurs de perles,Bizet,Lyrischer Tenor,Tenor
Leila,Les pecheurs de perles,Bizet,Lyrischer Koloratursopran,Soprano
Faust,Faust,Gounod,Lyrischer Tenor,Tenor
Marguerite,Faust,Gounod,Lyrischer Sopran,Soprano
Mephistopheles,Faust,Gounod,Serioeser Bass,Bass
Valentin,Faust,Gounod,Lyrischer Bariton,Baritone
Siebel,Faust,Gounod,Lyrischer Mezzosopran,Mezzo
Romeo,Romeo et Juliette,Gounod,Lyrischer Tenor,Tenor
Juliette,Romeo et Juliette,Gounod,Lyrischer Koloratursopran,Soprano
Manon,Manon,Massenet,Lyrischer Sopran,Soprano
Des Grieux,Manon,Massenet,Lyrischer Tenor,Tenor
Werther,Werther,Massenet,Lyrischer Tenor,Tenor
Charlotte,Werther,Massenet,Lyrischer Mezzosopran,Mezzo
Sophie,Werther,Massenet,Soubrette,Soprano
Thais,Thais,Massenet,Lyrischer Sopran,Soprano
Hoffmann,Les contes d'Hoffmann,Offenbach,Jugendlicher Heldentenor,Tenor
Olympia,Les contes d'Hoffmann,Offenbach,Koloratursopran,Soprano
Antonia,Les contes d'Hoffmann,Offenbach,Lyrischer Sopran,Soprano
Giulietta,Les contes d'Hoffmann,Offenbach,Dramatischer Sopran,Soprano
Nicklausse,Les contes d'Hoffmann,Offenbach,Lyrischer Mezzosopran,Mezzo
Lindorf,Les contes d'Hoffmann,Offenbach,Charakterbariton,Baritone
Siegmund,Die Walkuere,Wagner,Heldentenor,Tenor
Sieglinde,Die Walkuere,Wagner,Jugendlich-dramatischer Sopran,Soprano
Bruennhilde,Die Walkuere,Wagner,Hochdramatischer Sopran,Soprano
Wotan,Die Walkuere,Wagner,Heldenbariton / Bass-Bariton,Bass-baritone
Hunding,Die Walkuere,Wagner,Serioeser Bass,Bass
Fricka,Die Walkuere,Wagner,Dramatischer Mezzosopran,Mezzo
Siegfried,Siegfried,Wagner,Heldentenor,Tenor
Mime,Siegfried,Wagner,Charaktertenor,Tenor
Alberich,Das Rheingold,Wagner,Charakterbariton,Baritone
Loge,Das Rheingold,Wagner,Charaktertenor,Tenor
Erda,Das Rheingold,Wagner,Dramatischer Alt,Contralto
Fasolt,Das Rheingold,Wagner,Serioeser Bass,Bass
Hagen,Goetterdaemmerung,Wagner,Serioeser Bass,Bass
Gutrune,Goetterdaemmerung,Wagner,Jugendlich-dramatischer Sopran,Soprano
Tristan,Tristan und Isolde,Wagner,Heldentenor,Tenor
Isolde,Tristan und Isolde,Wagner,Hochdramatischer Sopran,Soprano
Brangaene,Tristan und Isolde,Wagner,Dramatischer Mezzosopran,Mezzo
Kurwenal,Tristan und Isolde,Wagner,Heldenbariton,Baritone
Koenig Marke,Tristan und Isolde,Wagner,Serioeser Bass,Bass
Hans Sachs,Die Meistersinger von Nuernberg,Wagner,Heldenbariton / Bass-Bariton,Bass-baritone
Walther von Stolzing,Die Meistersinger von Nuernberg,Wagner,Heldentenor,Tenor
Eva,Die Meistersinger von Nuernberg,Wagner,Jugendlich-dramatischer Sopran,Soprano
Beckmesser,Die Meistersinger von Nuernberg,Wagner,Charakterbariton,Baritone
David,Die Meistersinger von Nuernberg,Wagner,Spieltenor,Tenor
Tannhaeuser,Tannhaeuser,Wagner,Heldentenor,Tenor
Elisabeth,Tannhaeuser,Wagner,Jugendlich-dramatischer Sopran,Soprano
Wolfram,Tannhaeuser,Wagner,Kavalierbariton,Baritone
Venus,Tannhaeuser,Wagner,Dramatischer Mezzosopran,Mezzo
Lohengrin,Lohengrin,Wagner,Heldentenor,Tenor
Elsa,Lohengrin,Wagner,Jugendlich-dramatischer Sopran,Soprano
Ortrud,Lohengrin,Wagner,Hochdramatischer Sopran / dramatischer Mezzo,Mezzo
Telramund,Lohengrin,Wagner,Heldenbariton,Baritone
Hollaender,Der fliegende Hollaender,Wagner,Heldenbariton,Baritone
Senta,Der fliegende Hollaender,Wagner,Jugendlich-dramatischer Sopran,Soprano
Daland,Der fliegende Hollaender,Wagner,Serioeser Bass,Bass
Erik,Der fliegende Hollaender,Wagner,Heldentenor,Tenor
Parsifal,Parsifal,Wagner,Heldentenor,Tenor
Kundry,Parsifal,Wagner,Dramatischer Sopran,Soprano
Gurnemanz,Parsifal,Wagner,Serioeser Bass,Bass
Amfortas,Parsifal,Wagner,Heldenbariton,Baritone
Marschallin,Der Rosenkavalier,Strauss,Jugendlich-dramatischer Sopran,Soprano
Octavian,Der Rosenkavalier,Strauss,Lyrischer Mezzosopran,Mezzo
Sophie,Der Rosenkavalier,Strauss,Lyrischer Koloratursopran,Soprano
Baron Ochs,Der Rosenkavalier,Strauss,Schwerer Spielbass,Bass
Faninal,Der Rosenkavalier,Strauss,Charakterbariton,Baritone
Salome,Salome,Strauss,Jugendlich-dramatischer Sopran,Soprano
Jochanaan,Salome,Strauss,Heldenbariton,Baritone
Herodes,Salome,Strauss,Charaktertenor,Tenor
Herodias,Salome,Strauss,Dramatischer Mezzosopran,Mezzo
Elektra,Elektra,Strauss,Hochdramatischer Sopran,Soprano
Chrysothemis,Elektra,Strauss,Dramatischer Sopran,Soprano
Klytaemnestra,Elektra,Strauss,Dramatischer Mezzosopran,Mezzo
Ariadne,Ariadne auf Naxos,Strauss,Dramatischer Sopran,Soprano
Zerbinetta,Ariadne auf Naxos,Strauss,Koloratursopran,Soprano
Komponist,Ariadne auf Naxos,Strauss,Lyrischer Mezzosopran,Mezzo
Bacchus,Ariadne auf Naxos,Strauss,Heldentenor,Tenor
Arabella,Arabella,Strauss,Lyrischer Sopran,Soprano
Zdenka,Arabella,Strauss,Lyrischer Sopran,Soprano
Mandryka,Arabella,Strauss,Heldenbariton,Baritone
Capriccio Gräfin,Capriccio,Strauss,Lyrischer Sopran,Soprano
Haensel,Haensel und Gretel,Humperdinck,Lyrischer Mezzosopran,Mezzo
Gretel,Haensel und Gretel,Humperdinck,Lyrischer Sopran / Soubrette,Soprano
Hexe,Haensel und Gretel,Humperdinck,Charaktertenor / Mezzosopran,Mezzo
Peter,Haensel und Gretel,Humperdinck,Charakterbariton,Baritone
Gertrud,Haensel und Gretel,Humperdinck,Mezzosopran,Mezzo
Sandmaennchen,Haensel und Gretel,Humperdinck,Soubrette,Soprano
Rosalinde,Die Fledermaus,J. Strauss II,Lyrischer Sopran,Soprano
Eisenstein,Die Fledermaus,J. Strauss II,Spieltenor,Tenor
Adele,Die Fledermaus,J. Strauss II,Koloratursopran / Soubrette,Soprano
Orlofsky,Die Fledermaus,J. Strauss II,Lyrischer Mezzosopran,Mezzo
Falke,Die Fledermaus,J. Strauss II,Lyrischer Bariton,Baritone
Alfred,Die Fledermaus,J. Strauss II,Lyrischer Tenor,Tenor
Frank,Die Fledermaus,J. Strauss II,Spielbass,Bass
Leonore,Fidelio,Beethoven,Jugendlich-dramatischer Sopran,Soprano
Florestan,Fidelio,Beethoven,Jugendlicher Heldentenor,Tenor
Rocco,Fidelio,Beethoven,Serioeser Bass,Bass
Pizarro,Fidelio,Beethoven,Heldenbariton,Baritone
Marzelline,Fidelio,Beethoven,Soubrette / lyrischer Sopran,Soprano
Jaquino,Fidelio,Beethoven,Spieltenor,Tenor
Max,Der Freischuetz,Weber,Heldentenor,Tenor
Agathe,Der Freischuetz,Weber,Jugendlich-dramatischer Sopran,Soprano
Aennchen,Der Freischuetz,Weber,Soubrette,Soprano
Kaspar,Der Freischuetz,Weber,Serioeser Bass,Bass
Canio,Pagliacci,Leoncavallo,Heldentenor,Tenor
Nedda,Pagliacci,Leoncavallo,Lyrischer Sopran,Soprano
Tonio,Pagliacci,Leoncavallo,Verdi-Bariton,Baritone
Silvio,Pagliacci,Leoncavallo,Lyrischer Bariton,Baritone
Santuzza,Cavalleria rusticana,Mascagni,Dramatischer Sopran / Mezzo,Soprano
Turiddu,Cavalleria rusticana,Mascagni,Heldentenor,Tenor
Alfio,Cavalleria rusticana,Mascagni,Verdi-Bariton,Baritone
Lucia,Cavalleria rusticana,Mascagni,Dramatischer Alt,Contralto
Tatjana,Eugen Onegin,Tchaikovsky,Lyrischer Sopran,Soprano
Onegin,Eugen Onegin,Tchaikovsky,Kavalierbariton,Baritone
Lenski,Eugen Onegin,Tchaikovsky,Lyrischer Tenor,Tenor
Olga,Eugen Onegin,Tchaikovsky,Lyrischer Mezzosopran,Mezzo
Gremin,Eugen Onegin,Tchaikovsky,Serioeser Bass,Bass
Hermann,Pique Dame,Tchaikovsky,Heldentenor,Tenor
Lisa,Pique Dame,Tchaikovsky,Dramatischer Sopran,Soprano
Grafin,Pique Dame,Tchaikovsky,Dramatischer Alt,Contralto
Rusalka,Rusalka,Dvorak,Jugendlich-dramatischer Sopran,Soprano
Prinz,Rusalka,Dvorak,Jugendlicher Heldentenor,Tenor
Vodnik,Rusalka,Dvorak,Serioeser Bass,Bass
Jezibaba,Rusalka,Dvorak,Dramatischer Mezzosopran,Mezzo
Jenufa,Jenufa,Janacek,Jugendlich-dramatischer Sopran,Soprano
Kostelnicka,Jenufa,Janacek,Dramatischer Sopran,Soprano
Laca,Jenufa,Janacek,Heldentenor,Tenor
Emilia Marty,Vec Makropulos,Janacek,Dramatischer Sopran,Soprano
Peter Grimes,Peter Grimes,Britten,Heldentenor,Tenor
Ellen Orford,Peter Grimes,Britten,Lyrischer Sopran,Soprano
Balstrode,Peter Grimes,Britten,Charakterbariton,Baritone
Oberon,A Midsummer Night's Dream,Britten,Countertenor,Countertenor
Tytania,A Midsummer Night's Dream,Britten,Koloratursopran,Soprano
Albert Herring,Albert Herring,Britten,Lyrischer Tenor,Tenor
Billy Budd,Billy Budd,Britten,Lyrischer Bariton,Baritone
Captain Vere,Billy Budd,Britten,Charaktertenor,Tenor
Claggart,Billy Budd,Britten,Serioeser Bass,Bass
Governess,The Turn of the Screw,Britten,Lyrischer Sopran,Soprano
Orfeo,Orfeo ed Euridice,Gluck,Countertenor / Mezzosopran,Countertenor
Euridice,Orfeo ed Euridice,Gluck,Lyrischer Sopran,Soprano
Iphigenie,Iphigenie en Tauride,Gluck,Dramatischer Sopran,Soprano
Giulio Cesare,Giulio Cesare,Handel,Countertenor / Mezzosopran,Countertenor
Cleopatra,Giulio Cesare,Handel,Lyrischer Koloratursopran,Soprano
Cornelia,Giulio Cesare,Handel,Dramatischer Alt,Contralto
Sesto,Giulio Cesare,Handel,Mezzosopran,Mezzo
Rinaldo,Rinaldo,Handel,Countertenor,Countertenor
Alcina,Alcina,Handel,Lyrischer Koloratursopran,Soprano
Ruggiero,Alcina,Handel,Countertenor / Mezzosopran,Countertenor
Ariodante,Ariodante,Handel,Mezzosopran / Countertenor,Mezzo
Orfeo,L'Orfeo,Monteverdi,Lyrischer Tenor / Bariton,Tenor
Poppea,L'incoronazione di Poppea,Monteverdi,Lyrischer Sopran,Soprano
Nerone,L'incoronazione di Poppea,Monteverdi,Countertenor / Sopran,Countertenor
Ulisse,Il ritorno d'Ulisse,Monteverdi,Bariton,Baritone
Dido,Dido and Aeneas,Purcell,Lyrischer Mezzosopran,Mezzo
Aeneas,Dido and Aeneas,Purcell,Lyrischer Bariton,Baritone
Wozzeck,Wozzeck,Berg,Charakterbariton,Baritone
Marie,Wozzeck,Berg,Dramatischer Sopran,Soprano
Lulu,Lulu,Berg,Koloratursopran,Soprano
Tom Rakewell,The Rake's Progress,Stravinsky,Heldentenor,Tenor
Anne Trulove,The Rake's Progress,Stravinsky,Lyrischer Sopran,Soprano
Nick Shadow,The Rake's Progress,Stravinsky,Lyrischer Bariton,Baritone
Porgy,Porgy and Bess,Gershwin,Bass-Bariton,Bass-baritone
Bess,Porgy and Bess,Gershwin,Lyrischer Sopran,Soprano
Malcolm,Macbeth,Verdi,Lyrischer Tenor,Tenor
Rodolfo,Luisa Miller,Verdi,Heldentenor,Tenor
Percy,Anna Bolena,Donizetti,Lyrischer Tenor,Tenor
Quint,The Turn of the Screw,Britten,Lyrischer Tenor,Tenor
Lysander,A Midsummer Night's Dream,Britten,Lyrischer Tenor,Tenor
Andres,Wozzeck,Berg,Lyrischer Tenor,Tenor
Beppe,Pagliacci,Leoncavallo,Spieltenor,Tenor
Wenzel,Die verkaufte Braut,Smetana,Spieltenor,Tenor
Missail,Boris Godunow,Mussorgsky,Spieltenor,Tenor
Truffaldino,Turandot,Busoni,Spieltenor,Tenor
Altoum,Turandot,Puccini,Charaktertenor,Tenor
Dr. Cajus,Falstaff,Verdi,Charaktertenor,Tenor
Guillot,Manon,Massenet,Charaktertenor,Tenor
Hauptmann,Wozzeck,Berg,Charaktertenor,Tenor
Robespierre,Dantons Tod,von Einem,Charaktertenor,Tenor
Novagerio,Palestrina,Pfitzner,Charaktertenor,Tenor
Narraboth,Salome,Strauss,Heldentenor,Tenor
Chou En-lai,Nixon in China,Adams,Lyrischer Bariton,Baritone
Mao Tse-tung,Nixon in China,Adams,Charaktertenor,Tenor
Genevieve,Pelleas et Melisande,Debussy,Tiefer Alt,Contralto
Madame de Croissy,Dialogues des Carmelites,Poulenc,Tiefer Alt,Contralto
Gaea,Daphne,Strauss,Tiefer Alt,Contralto
Mutter,The Consul,Menotti,Tiefer Alt,Contralto
Orlando,Orlando,Handel,Countertenor,Countertenor
Ottone,Agrippina,Handel,Countertenor,Countertenor
Tamerlano,Tamerlano,Handel,Countertenor,Countertenor
Echnaton,Akhnaten,Glass,Countertenor,Countertenor
Hippolyte,Hippolyte et Aricie,Rameau,Haute-Contre,Tenor
Platee,Platee,Rameau,Haute-Contre,Tenor
