name,country,website
Teatro Real,Spain,https://www.teatroreal.es
Gran Teatre del Liceu,Spain,https://www.liceubarcelona.cat
Dutch National Opera,Netherlands,https://www.operaballet.nl
La Monnaie De Munt,Belgium,https://www.lamonnaiedemunt.be
Opera Vlaanderen,Belgium,https://www.operaballet.be
Royal Danish Opera,Denmark,https://kglteater.dk
Norwegian National Opera,Norway,https://operaen.no
Royal Swedish Opera,Sweden,https://www.operan.se
Finnish National Opera,Finland,https://oopperabaletti.fi
Teatro Nacional de Sao Carlos,Portugal,https://tnsc.pt
Hungarian State Opera,Hungary,https://www.opera.hu
National Theatre Prague,Czechia,https://www.narodni-divadlo.cz
Teatr Wielki Warsaw,Poland,https://teatrwielki.pl
Opera Australia,Australia,https://opera.org.au
New Zealand Opera,New Zealand,https://www.nzopera.com
Israeli Opera,Israel,https://www.israel-opera.co.il
English Touring Opera,UK,https://englishtouringopera.org.uk
The Grange Festival,UK,https://thegrangefestival.co.uk
Waterperry Opera Festival,UK,https://waterperryoperafestival.co.uk
West Green House Opera,UK,https://www.westgreenhouseopera.co.uk
Iford Arts,UK,https://ifordarts.org.uk
Dorset Opera Festival,UK,https://dorsetopera.com
Clonter Opera,UK,https://www.clonter.org
Bampton Classical Opera,UK,https://bamptonopera.org
New Sussex Opera,UK,https://newsussexopera.org
Mid Wales Opera,UK,https://midwalesopera.co.uk
Northern Ireland Opera,UK,https://niopera.com
OperaUpClose,UK,https://operaupclose.com
Streetwise Opera,UK,https://streetwiseopera.org
Pegasus Opera,UK,https://pegasusopera.org
National Opera Studio,UK,https://nationaloperastudio.org.uk
Britten Pears Arts,UK,https://brittenpearsarts.org
The Sixteen,UK,https://thesixteen.com
Monteverdi Choir & Orchestras,UK,https://monteverdi.co.uk
Gabrieli Consort,UK,https://gabrieli.com
Academy of Ancient Music,UK,https://aam.co.uk
Orchestra of the Age of Enlightenment,UK,https://oae.co.uk
The Tallis Scholars,UK,https://www.thetallisscholars.co.uk
Wexford Festival Opera,Ireland,https://www.wexfordopera.com
Staatstheater Nurnberg,Germany,https://www.staatstheater-nuernberg.de
Staatstheater Karlsruhe,Germany,https://www.staatstheater.karlsruhe.de
Staatstheater Kassel,Germany,https://www.staatstheater-kassel.de
Staatstheater Mainz,Germany,https://www.staatstheater-mainz.com
Hessisches Staatstheater Wiesbaden,Germany,https://www.staatstheater-wiesbaden.de
Staatstheater Darmstadt,Germany,https://www.staatstheater-darmstadt.de
Staatstheater Braunschweig,Germany,https://www.staatstheater-braunschweig.de
Staatsoper Hannover,Germany,https://staatstheater-hannover.de
Theater Bremen,Germany,https://www.theaterbremen.de
Theater Dortmund,Germany,https://www.theaterdo.de
Aalto Theater Essen,Germany,https://www.theater-essen.de
Theater Bonn,Germany,https://www.theater-bonn.de
Theater Krefeld Monchengladbach,Germany,https://www.theater-kr-mg.de
Theater Munster,Germany,https://www.theater-muenster.com
Theater Bielefeld,Germany,https://theater-bielefeld.de
Theater Hagen,Germany,https://www.theaterhagen.de
Theater Aachen,Germany,https://www.theateraachen.de
Wuppertaler Buhnen,Germany,https://www.wuppertaler-buehnen.de
Musiktheater im Revier Gelsenkirchen,Germany,https://www.musiktheater-im-revier.de
Nationaltheater Mannheim,Germany,https://www.nationaltheater-mannheim.de
Theater Heidelberg,Germany,https://www.theaterheidelberg.de
Theater Freiburg,Germany,https://theater.freiburg.de
Theater Ulm,Germany,https://www.theater-ulm.de
Staatstheater Augsburg,Germany,https://staatstheater-augsburg.de
Theater Regensburg,Germany,https://www.theaterregensburg.de
Landestheater Coburg,Germany,https://www.landestheater-coburg.de
Mainfranken Theater Wurzburg,Germany,https://www.mainfrankentheater.de
Theater Erfurt,Germany,https://www.theater-erfurt.de
Deutsches Nationaltheater Weimar,Germany,https://www.nationaltheater-weimar.de
Theater Chemnitz,Germany,https://www.theater-chemnitz.de
Staatstheater Cottbus,Germany,https://www.staatstheater-cottbus.de
Theater Magdeburg,Germany,https://www.theater-magdeburg.de
Anhaltisches Theater Dessau,Germany,https://www.anhaltisches-theater.de
Buhnen Halle,Germany,https://buehnen-halle.de
Theater Nordhausen,Germany,https://www.theater-nordhausen.de
Mecklenburgisches Staatstheater Schwerin,Germany,https://www.mecklenburgisches-staatstheater.de
Theater Vorpommern,Germany,https://www.theater-vorpommern.de
Volkstheater Rostock,Germany,https://www.volkstheater-rostock.de
Theater Kiel,Germany,https://www.theater-kiel.de
Theater Lubeck,Germany,https://www.theaterluebeck.de
Landestheater Detmold,Germany,https://www.landestheater-detmold.de
Theater Osnabruck,Germany,https://www.theater-osnabrueck.de
Oldenburgisches Staatstheater,Germany,https://www.staatstheater.de
Theater Hof,Germany,https://www.theater-hof.de
Theater Pforzheim,Germany,https://www.theater-pforzheim.de
Theater Trier,Germany,https://theater-trier.de
Theater Koblenz,Germany,https://www.theater-koblenz.de
Pfalztheater Kaiserslautern,Germany,https://www.pfalztheater.de
Saarlandisches Staatstheater,Germany,https://www.staatstheater.saarland
Stadttheater Giessen,Germany,https://www.stadttheater-giessen.de
Landestheater Linz,Austria,https://www.landestheater-linz.at
Tiroler Landestheater Innsbruck,Austria,https://www.landestheater.at
Oper Graz,Austria,https://www.oper-graz.com
Salzburger Landestheater,Austria,https://www.salzburger-landestheater.at
Stadttheater Klagenfurt,Austria,https://www.stadttheater-klagenfurt.at
Theater St Gallen,Switzerland,https://www.theatersg.ch
Luzerner Theater,Switzerland,https://www.luzernertheater.ch
Buhnen Bern,Switzerland,https://www.buehnenbern.ch
Theater Orchester Biel Solothurn,Switzerland,https://www.tobs.ch
Opera national de Bordeaux,France,https://www.opera-bordeaux.com
Opera national du Rhin,France,https://www.operanationaldurhin.eu
Opera de Marseille,France,https://opera.marseille.fr
Opera de Nice,France,https://www.opera-nice.org
Opera Orchestre National Montpellier,France,https://www.opera-orchestre-montpellier.fr
Opera de Rouen Normandie,France,https://www.operaderouen.fr
Angers Nantes Opera,France,https://www.angers-nantes-opera.com
Opera de Rennes,France,https://www.opera-rennes.fr
Opera de Tours,France,https://www.operadetours.fr
Opera de Limoges,France,https://www.operalimoges.fr
Opera de Dijon,France,https://www.opera-dijon.fr
Opera de Toulon,France,https://www.operadetoulon.fr
Opera Grand Avignon,France,https://www.operagrandavignon.fr
Opera de Massy,France,https://www.opera-massy.com
Opera de Lille,France,https://www.opera-lille.fr
Opera de Reims,France,https://operadereims.com
Theatre des Champs-Elysees,France,https://www.theatrechampselysees.fr
Theatre du Chatelet,France,https://www.chatelet.com
Festival d'Aix-en-Provence,France,https://festival-aix.com
Teatro San Carlo Napoli,Italy,https://www.teatrosancarlo.it
Teatro Massimo Palermo,Italy,https://www.teatromassimo.it
Teatro Carlo Felice Genova,Italy,https://www.operacarlofelicegenova.it
Teatro Regio Torino,Italy,https://www.teatroregio.torino.it
Teatro Regio Parma,Italy,https://www.teatroregioparma.it
Maggio Musicale Fiorentino,Italy,https://www.maggiofiorentino.com
Arena di Verona,Italy,https://www.arena.it
Teatro Verdi Trieste,Italy,https://www.teatroverdi-trieste.com
Fondazione Petruzzelli Bari,Italy,https://www.fondazionepetruzzelli.it
Teatro Lirico di Cagliari,Italy,https://www.teatroliricodicagliari.it
Teatro Comunale Modena,Italy,https://www.teatrocomunalemodena.it
Teatro Alighieri Ravenna,Italy,https://www.teatroalighieri.org
Teatro Comunale Ferrara,Italy,https://teatrocomunaleferrara.it
Fondazione Teatro Coccia Novara,Italy,https://www.fondazioneteatrococcia.it
Teatro Sociale di Como,Italy,https://www.teatrosocialecomo.it
Fondazione Pergolesi Spontini Jesi,Italy,https://fondazionepergolesispontini.com
Sferisterio Opera Festival Macerata,Italy,https://www.sferisterio.it
Rossini Opera Festival Pesaro,Italy,https://www.rossinioperafestival.it
Puccini Festival Torre del Lago,Italy,https://www.puccinifestival.it
Teatro Donizetti Bergamo,Italy,https://www.teatrodonizetti.it
Palau de les Arts Valencia,Spain,https://www.lesarts.com
Opera de Oviedo,Spain,https://www.operaoviedo.com
ABAO Bilbao Opera,Spain,https://www.abao.org
Teatro de la Maestranza Sevilla,Spain,https://www.teatrodelamaestranza.es
Teatro Arriaga Bilbao,Spain,https://www.teatroarriaga.eus
Casa da Musica Porto,Portugal,https://www.casadamusica.com
Opera Zuid,Netherlands,https://operazuid.nl
Nederlandse Reisopera,Netherlands,https://www.reisopera.nl
Malmo Opera,Sweden,https://www.malmoopera.se
GoteborgsOperan,Sweden,https://www.opera.se
NorrlandsOperan,Sweden,https://www.norrlandsoperan.se
Wermland Opera,Sweden,https://www.wermlandopera.com
Folkoperan,Sweden,https://folkoperan.se
Den Jyske Opera,Denmark,https://jyske-opera.dk
Bergen Nasjonale Opera,Norway,https://www.bno.no
Estonian National Opera,Estonia,https://www.opera.ee
Latvian National Opera,Latvia,https://www.opera.lv
Lithuanian National Opera,Lithuania,https://www.opera.lt
Slovak National Theatre,Slovakia,https://snd.sk
Croatian National Theatre Zagreb,Croatia,https://www.hnk.hr
SNG Opera in balet Ljubljana,Slovenia,https://www.opera.si
Teatr Wielki Poznan,Poland,https://opera.poznan.pl
Opera Krakowska,Poland,https://opera.krakow.pl
Opera Wroclawska,Poland,https://www.opera.wroclaw.pl
Opera Nova Bydgoszcz,Poland,https://www.operanova.bydgoszcz.pl
Bucharest National Opera,Romania,https://operanb.ro
Sofia Opera and Ballet,Bulgaria,https://www.operasofia.bg
Greek National Opera,Greece,https://www.nationalopera.gr
